Ticker symbol,Security,GICS Sector,GICS Sub Industry,start at yahoo
MMM,3M Company,Industrials,Industrial Conglomerates,1970-01-02 00:00:00
ABT,Abbott Laboratories,Health Care,Health Care Equipment,1980-03-17 00:00:00
ABBV,AbbVie Inc.,Health Care,Pharmaceuticals,2013-01-02 00:00:00
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,2001-07-19 00:00:00
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,1993-10-25 00:00:00
AYI,Acuity Brands Inc,Industrials,Electrical Components & Equipment,2001-12-03 00:00:00
ADBE,Adobe Systems Inc,Information Technology,Application Software,1986-08-13 00:00:00
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductors,1980-03-17 00:00:00
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,2001-11-29 00:00:00
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,1991-06-26 00:00:00
AET,Aetna Inc,Health Care,Managed Health Care,1977-01-03 00:00:00
AMG,Affiliated Managers Group Inc,Financials,Asset Management & Custody Banks,1997-11-21 00:00:00
AFL,AFLAC Inc,Financials,Life & Health Insurance,1980-03-17 00:00:00
A,Agilent Technologies Inc,Health Care,Health Care Equipment,1999-11-18 00:00:00
APD,Air Products & Chemicals Inc,Materials,Industrial Gases,1980-03-17 00:00:00
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,1999-10-29 00:00:00
ALK,Alaska Air Group Inc,Industrials,Airlines,1980-03-17 00:00:00
ALB,Albemarle Corp,Materials,Specialty Chemicals,1994-02-22 00:00:00
ARE,Alexandria Real Estate Equities Inc,Real Estate,Office REITs,1997-05-28 00:00:00
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,1996-02-28 00:00:00
ALGN,Align Technology,Health Care,Health Care Supplies,2001-01-30 00:00:00
ALLE,Allegion,Industrials,Building Products,2013-11-18 00:00:00
AGN,"Allergan, Plc",Health Care,Pharmaceuticals,1989-06-22 00:00:00
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,2001-06-15 00:00:00
LNT,Alliant Energy Corp,Utilities,Electric Utilities,1980-03-17 00:00:00
ALL,Allstate Corp,Financials,Property & Casualty Insurance,1993-06-03 00:00:00
GOOGL,Alphabet Inc Class A,Information Technology,Internet Software & Services,2004-08-19 00:00:00
GOOG,Alphabet Inc Class C,Information Technology,Internet Software & Services,2004-08-19 00:00:00
MO,Altria Group Inc,Consumer Staples,Tobacco,1970-01-02 00:00:00
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,1997-05-15 00:00:00
AEE,Ameren Corp,Utilities,Multi-Utilities,1998-01-02 00:00:00
AAL,American Airlines Group,Industrials,Airlines,2005-09-27 00:00:00
AEP,American Electric Power,Utilities,Electric Utilities,1970-01-02 00:00:00
